| tabela                           | e_view | campo                  | tipo                        | obrigatorio | chave_primaria | chave_unica | tabela_relacionada    | campo_relacionado | comentario |
| vouchers                         | false  | usado_em               | timestamp without time zone | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| webhook_reservas                 | false  | reserva_id             | text                        | true        | false          | true        | null                  | null              | null       |
| webhook_reservas                 | false  | order_id               | text                        | true        | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | nsu                    | text                        | true        | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | aut                    | text                        | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | valor_total            | numeric                     | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | cliente_nome           | text                        | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | cliente_email          | text                        | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | cliente_whatsapp       | text                        | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | checkin                | date                        | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | checkout               | date                        | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | recebido_em            | timestamp without time zone | false       | false          | false       | null                  | null              | null       |
| webhook_reservas                 | false  | suite_id               | uuid                        | false       | false          | false       | suites                | id                | null       |
